index,Job Title,Rating,Company Name,Location,Headquarters,Size (Employees),Founded,Type of ownership,Industry,Sector,Revenue (USD),Minimum Salary ($),Maximum Salary ($),Skills
20,Data Scientist,3.2,Triplebyte,New York,San Francisco,'51-200,2015.0,Company - Private,Computer Hardware & Software,Information Technology,,137000.0,171000.0,"['machine learning', 'ai', 'exploratory data analysis', 'time series']"
21,Data Scientist,4.3,PulsePoint,New York,New York,'51-200,2011.0,Company - Private,Internet,Information Technology,100-500 million,137000.0,171000.0,"['python', 'spark', 'hadoop', 'hive', 'docker', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'big data']"
22,Data Scientist,3.5,Exponent,Phoenix,Menlo Park,'1001-5000,1967.0,Company - Public,Consulting,Business Services,100-500 million,137000.0,171000.0,"['excel', 'ai', 'statistics']"
23,Data Analyst,3.5,Guardian Life,Appleton,New York,'5001-10000,1860.0,Company - Private,Insurance Carriers,Insurance,5-10 billion,137000.0,171000.0,['ai']
24,Data Scientist,3.4,Spectrum Communications and Consulting,Chicago,Chicago,'51-200,1992.0,Company - Private,Advertising & Marketing,Business Services,10-25 million,137000.0,171000.0,"['sql', 'sas', 'ai', 'artificial intelligence', 'statistics', 'mathematics', 'computer science', 'data science', 'data mining']"
25,Data Scientist,4.7,Oversight Systems,Atlanta,Atlanta,'51-200,2003.0,Company - Private,Computer Hardware & Software,Information Technology,25-50 million,137000.0,171000.0,"['python', 'sql', 'linux', 'etl', 'cloud', 'excel', 'pytorch', 'scikit-learn', 'keras', 'machine learning', 'ai', 'artificial intelligence', 'deep learning', 'predictive modeling', 'data science']"
26,Data Scientist,4.2,LSQ,Orlando,Orlando,'51-200,1996.0,Company - Private,Investment Banking & Asset Management,Finance,100-500 million,137000.0,171000.0,"['python', 'sas', 'aws', 'spark', 'hadoop', 'kafka', 'cloud', 'tableau', 'excel', 'power bi', 'tensorflow', 'nltk', 'ai', 'statistics', 'computer science', 'data science', 'big data']"
27,Data Scientist,3.8,MIT Lincoln Laboratory,Lexington,Lexington,'1001-5000,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,137000.0,171000.0,"['python', 'sql', 'sas', 'matlab', 'spark', 'hadoop', 'hive', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'computer science', 'data mining', 'big data', 'security clearance', 'clearance']"
28,Data Scientist,4.5,Kingfisher Systems,McLean,Falls Church,'51-200,2005.0,Company - Private,Federal Agencies,Government,25-50 million,137000.0,171000.0,"['python', 'sql', 'sas', 'css', 'tableau', 'machine learning', 'ai', 'natural language processing', 'predictive modeling', 'statistics', 'mathematics', 'computer science', 'data science', 'clearance', 'secret clearance']"
29,Data Scientist,2.8,Formation,San Francisco,San Francisco,'51-200,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,137000.0,171000.0,"['scala', 'spark', 'hive', 'excel', 'tensorflow', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'statistics', 'mathematics', 'computer science', 'data science', 'big data']"
30,Data Scientist,3.8,Analysis Group,Boston,Boston,'1001-5000,1981.0,Private Practice / Firm,Consulting,Business Services,100-500 million,75000.0,131000.0,"['python', 'c++', 'linux', 'aws', 'cloud', 'excel', 'machine learning', 'ai', 'nlp', 'natural language processing', 'statistics', 'mathematics', 'computer science', 'data science']"
31,Data Scientist,3.9,Novartis,Cambridge,Basel,'10000+,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,75000.0,131000.0,"['python', 'c++', 'linux', 'pytorch', 'scikit-learn', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science']"
32,Data Scientist,5.0,Cohere Health,Boston,Boston,'1-50,2019.0,Company - Private,IT Services,Information Technology,,75000.0,131000.0,"['python', 'sql', 'excel', 'machine learning', 'ml', 'ai', 'nlp', 'data science']"
33,Data Scientist,4.8,Acuity Insurance,Sheboygan,Sheboygan,'1001-5000,1925.0,Company - Private,Insurance Carriers,Insurance,1-2 billion,75000.0,131000.0,"['sas', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'computer science', 'data mining']"
34,Data Engineer,3.6,Chef,United States,Seattle,'201-500,2008.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,50-100 million,75000.0,131000.0,"['sql', 'java', 'scala', 'c++', 'aws', 'nosql', 'kubernetes', 'docker', 'cloud', 'excel', 'ai', 'computer science', 'data science', 'data mining', 'big data']"
35,Data Scientist,3.3,Puget Sound Energy,Bothell,Bellevue,'1001-5000,1999.0,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",2-5 billion,75000.0,131000.0,"['sql', 'spark', 'hadoop', 'cloud', 'excel', 'machine learning', 'ai', 'computer science', 'data science']"
36,Data Analyst,2.7,Sandhills Global,Lincoln,Lincoln,'1001-5000,1978.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,50-100 million,75000.0,131000.0,"['python', 'sql', 'tableau', 'excel', 'power bi', 'ml', 'ai']"
37,Data Scientist,2.7,A Place for Mom,Overland Park,New York,'501-1000,2000.0,Company - Private,Health Care Services & Hospitals,Health Care,,75000.0,131000.0,"['python', 'sql', 'linux', 'aws', 'excel', 'machine learning', 'ai', 'statistics', 'data science']"
38,Data Scientist,2.2,Great-Circle Technologies,Chantilly,Chantilly,'1-50,2000.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,1-5 million,75000.0,131000.0,"['python', 'sql', 'java', 'sas', 'c++', 'javascript', 'aws', 'spark', 'hadoop', 'hive', 'excel', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'clustering', 'data mining', 'clearance', 'ts/sci']"
39,Data Analyst,3.4,Edmunds.com,Santa Monica,Santa Monica,'501-1000,1966.0,Company - Private,Internet,Information Technology,100-500 million,75000.0,131000.0,"['python', 'sql', 'aws', 'tableau', 'excel', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'computer science', 'data science', 'data mining']"
40,Data Analyst,3.1,"Cambridge Associates, LLC",Boston,Boston,'501-1000,1973.0,Company - Private,Investment Banking & Asset Management,Finance,100-500 million,75000.0,131000.0,"['python', 'sql', 'excel', 'ai', 'mathematics']"
41,Machine Learning Engineer,3.4,Liberty Mutual Insurance,Portsmouth,Boston,'10000+,1912.0,Company - Private,Insurance Carriers,Insurance,10+ billion,75000.0,131000.0,"['python', 'java', 'scala', 'aws', 'spark', 'azure', 'cloud', 'excel', 'machine learning', 'ai', 'data science', 'big data']"
42,Data Analyst,2.6,Cenlar,Ewing,Ewing,'1001-5000,1958.0,Company - Private,,,100-500 million,75000.0,131000.0,"['sql', 'etl', 'ai', 'statistics', 'mathematics', 'computer science', 'exploratory data analysis']"
43,Data Scientist,4.2,Eversight,Palo Alto,Palo Alto,'51-200,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,10-25 million,75000.0,131000.0,"['python', 'scala', 'cloud', 'machine learning', 'ai', 'deep learning', 'statistics', 'mathematics', 'computer science', 'data science', 'regression']"
44,Data Scientist,4.1,Pfizer,Cambridge,New York,'10000+,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,75000.0,131000.0,"['python', 'linux', 'aws', 'cloud', 'excel', 'tensorflow', 'pytorch', 'keras', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'deep learning', 'computer science']"
45,Data Scientist,4.8,Klaviyo,Boston,Boston,'201-500,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,75000.0,131000.0,"['cloud', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'clustering', 'data mining']"
46,Data Scientist,3.3,Intellectual Ventures,Bellevue,Bellevue,'501-1000,2000.0,Company - Private,Investment Banking & Asset Management,Finance,,75000.0,131000.0,"['python', 'java', 'c++', 'matlab', 'etl', 'cloud', 'excel', 'machine learning', 'ai', 'natural language processing']"
47,Data Scientist,3.7,GovTech,San Francisco,Singapore,'1001-5000,2016.0,Government,Federal Agencies,Government,,75000.0,131000.0,"['python', 'tableau', 'excel', 'qlik', 'machine learning', 'ai', 'statistics', 'computer science', 'data science']"
48,Data Scientist,4.3,Quick Base,Cambridge,Cambridge,'201-500,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,75000.0,131000.0,"['python', 'sql', 'tableau', 'excel', 'power bi', 'scikit-learn', 'machine learning', 'ai', 'nlp', 'statistics', 'regression', 'clustering']"
49,Data Analyst,4.8,Giving Assistant,San Francisco,San Francisco,'1-50,2014.0,Company - Private,Advertising & Marketing,Business Services,10-25 million,75000.0,131000.0,"['python', 'sql', 'sas', 'nosql', 'tableau', 'excel', 'looker', 'machine learning', 'ai', 'statistics', 'computer science', 'data science']"
50,Data Scientist,3.7,Takeda,Cambridge,OSAKA,'10000+,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,75000.0,131000.0,"['python', 'sql', 'java', 'scala', 'spark', 'nosql', 'tensorflow', 'machine learning', 'ai', 'artificial intelligence', 'deep learning', 'computer science', 'data science']"
51,Data Scientist,4.0,Netskope,San Francisco,Santa Clara,'501-1000,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,75000.0,131000.0,"['python', 'scala', 'spark', 'cloud', 'excel', 'tensorflow', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'nlp', 'statistics', 'computer science', 'data mining', 'big data']"
52,Data Engineer,4.8,IT Concepts,Remote,Vienna,'51-200,2003.0,Company - Private,IT Services,Information Technology,10-25 million,75000.0,131000.0,"['sql', 'linux', 'excel', 'ml', 'ai', 'clearance', 'secret clearance']"
53,Data Engineer,3.7,Summa Health System,Akron,Akron,'5001-10000,1926.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,100-500 million,75000.0,131000.0,"['sas', 'aws', 'tableau', 'excel', 'ai', 'statistics', 'mathematics', 'computer science']"
54,Data Scientist,3.5,Benson Hill,Saint Louis,Saint Louis,'201-500,2012.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1-5 million,75000.0,131000.0,"['python', 'julia', 'excel', 'machine learning', 'ai', 'statistics', 'mathematics', 'data science', 'big data']"
55,Data Scientist,4.1,Twitter,San Francisco,San Francisco,'1001-5000,2006.0,Company - Public,Internet,Information Technology,2-5 billion,75000.0,131000.0,"['python', 'java', 'scala', 'c++', 'machine learning', 'ai', 'statistics', 'computer science', 'data science']"
56,Data Scientist,3.2,Postmates - Corporate HQ,San Francisco,San Francisco,'1001-5000,2011.0,Company - Private,Express Delivery Services,Transportation & Logistics,,75000.0,131000.0,"['python', 'sql', 'sas', 'spark', 'hive', 'mapreduce', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'natural language processing', 'statistics', 'computer science', 'data science', 'data mining']"
57,Data Scientist,4.5,Envision LLC,Saint Louis,Saint Louis,'201-500,1994.0,Company - Private,Staffing & Outsourcing,Business Services,25-50 million,75000.0,131000.0,"['python', 'excel', 'machine learning', 'ai', 'statistics', 'mathematics']"
58,Data Analyst,3.8,Swiss Re,Fort Wayne,Zurich,'10000+,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,10+ billion,75000.0,131000.0,"['python', 'sql', 'excel', 'ai', 'statistics', 'computer science']"
59,Machine Learning Engineer,4.5,Systems & Technology Research,Woburn,Woburn,'201-500,2010.0,Company - Private,Aerospace & Defense,Aerospace & Defense,100-500 million,75000.0,131000.0,"['python', 'c++', 'excel', 'machine learning', 'ai', 'deep learning', 'mathematics', 'computer science']"
60,Data Scientist,3.5,iRobot,Bedford,Bedford,'1001-5000,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,1-2 billion,79000.0,131000.0,"['python', 'sql', 'ai', 'statistics', 'mathematics', 'computer science']"
61,Data Scientist,4.2,HG Insights,Santa Barbara,Santa Barbara,'51-200,2010.0,Company - Private,Computer Hardware & Software,Information Technology,,79000.0,131000.0,"['python', 'sql', 'java', 'scala', 'spark', 'hadoop', 'excel', 'tensorflow', 'scikit-learn', 'nltk', 'spacy', 'machine learning', 'ai', 'nlp', 'natural language processing', 'computer science', 'data science', 'regression']"
62,Data Analyst,3.8,Dermalogica,Carson,Carson,'201-500,1986.0,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,100-500 million,79000.0,131000.0,"['sql', 'tableau', 'excel', 'power bi', 'ai', 'computer science']"
63,Data Engineer,3.7,Bayview Asset Management,Coral Gables,Coral Gables,'1001-5000,1995.0,Company - Private,Investment Banking & Asset Management,Finance,100-500 million,79000.0,131000.0,"['python', 'sql', 'sas', 'c++', 'ai', 'statistics', 'computer science', 'data mining']"
64,Data Scientist,3.7,Via Transportation,New York,New York,'501-1000,2012.0,Company - Private,Internet,Information Technology,,79000.0,131000.0,"['python', 'sql', 'tableau', 'machine learning', 'predictive modeling', 'statistics']"
65,Data Scientist,4.0,Grid Dynamics,Santa Clara,San Ramon,'1001-5000,2006.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,50-100 million,79000.0,131000.0,"['python', 'sql', 'sas', 'cloud', 'tableau', 'excel', 'ai', 'data science', 'big data']"
66,Machine Learning Engineer,3.3,Tempus Labs,Chicago,Chicago,'501-1000,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,79000.0,131000.0,"['python', 'sql', 'java', 'linux', 'javascript', 'html', 'css', 'aws', 'docker', 'cloud', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'deep learning', 'statistics', 'mathematics', 'data science', 'regression', 'clustering']"
67,Data Scientist,2.5,CareDx,Brisbane,Brisbane,'1-50,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,79000.0,131000.0,"['python', 'scala', 'spark', 'etl', 'docker', 'kafka', 'excel', 'tensorflow', 'pytorch', 'keras', 'opencv', 'machine learning', 'ml', 'ai', 'deep learning', 'computer science', 'data science']"
68,Data Engineer,4.2,IZEA,Winter Park,Winter Park,'51-200,2006.0,Company - Public,Advertising & Marketing,Business Services,25-50 million,79000.0,131000.0,"['python', 'sql', 'java', 'scala', 'linux', 'javascript', 'aws', 'spark', 'hadoop', 'nosql', 'docker', 'cloud', 'excel', 'machine learning', 'ai', 'statistics', 'data science']"
69,Data Scientist,3.3,Tempus Labs,Redwood City,Chicago,'501-1000,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,79000.0,131000.0,"['python', 'sql', 'java', 'linux', 'javascript', 'html', 'css', 'aws', 'scikit-learn', 'machine learning', 'ml', 'ai', 'statistics', 'computer science', 'regression']"
70,Data Scientist,4.0,Autodesk,San Francisco,San Rafael,'5001-10000,1982.0,Company - Public,Computer Hardware & Software,Information Technology,2-5 billion,79000.0,131000.0,"['python', 'matlab', 'aws', 'spark', 'hadoop', 'hive', 'azure', 'gcp', 'cloud', 'excel', 'machine learning', 'ml', 'ai', 'computer science', 'data science', 'data mining', 'big data']"
71,Data Analyst,3.7,Caterpillar,Peoria,Deerfield,'10000+,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,10+ billion,79000.0,131000.0,"['sql', 'tableau', 'excel', 'ai']"
72,Biomedical & Lab Scientist,4.9,New England Biolabs,Ipswich,Ipswich,'201-500,1974.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,79000.0,131000.0,['ai']
73,Data Analyst,3.4,Allied Solutions,Carmel,Carmel,'1001-5000,2001.0,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,100-500 million,79000.0,131000.0,"['python', 'sql', 'tableau', 'excel', 'ai', 'statistics', 'mathematics', 'computer science', 'data science']"
74,Data Engineer,3.1,Healthfirst,New York,New York,'1001-5000,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,,79000.0,131000.0,"['python', 'sql', 'java', 'nosql', 'cloud', 'excel', 'machine learning', 'ai', 'big data']"
75,Data Scientist,3.5,The Knot Worldwide,Washington,Chevy Chase,'1001-5000,2019.0,Company - Private,Internet,Information Technology,,79000.0,131000.0,"['python', 'linux', 'aws', 'spark', 'machine learning', 'ai', 'predictive modeling', 'clustering', 'data mining']"
76,Data Scientist,2.9,IFG Companies,New York,Hartford,'201-500,1985.0,Company - Private,Insurance Carriers,Insurance,,79000.0,131000.0,"['python', 'sql', 'sas', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'regression']"
77,Data Scientist,3.3,Amyris,Emeryville,Emeryville,'201-500,2003.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100-500 million,79000.0,131000.0,"['python', 'aws', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science']"
78,Data Scientist,4.0,AstraZeneca,Gaithersburg,Cambridge,'10000+,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,79000.0,131000.0,"['python', 'sql', 'sas', 'matlab', 'hadoop', 'machine learning', 'ai', 'artificial intelligence', 'statistics', 'data science', 'data mining']"
79,Data Scientist,3.6,Powertek,Washington,Rockville,'51-200,2001.0,Company - Private,IT Services,Information Technology,25-50 million,79000.0,131000.0,['data science']
80,Data Engineer,4.7,Object Partners,Saint Louis,Minneapolis,'51-200,1996.0,Company - Private,Consulting,Business Services,25-50 million,79000.0,131000.0,"['sql', 'java', 'scala', 'aws', 'spark', 'hadoop', 'hive', 'azure', 'nosql', 'gcp', 'kafka', 'cloud', 'ai', 'big data']"
81,Data Scientist,4.9,The Mom Project,Longmont,Chicago,'1-50,2016.0,Company - Private,Staffing & Outsourcing,Business Services,,79000.0,131000.0,"['python', 'aws', 'spark', 'hadoop', 'kubernetes', 'docker', 'cloud', 'tensorflow', 'keras', 'machine learning', 'ai', 'deep learning', 'data science', 'time series', 'data mining']"
82,Data Scientist,4.3,Lightspeed Systems,Austin,Austin,'51-200,1999.0,Company - Private,Computer Hardware & Software,Information Technology,25-50 million,79000.0,131000.0,"['python', 'sql', 'aws', 'spark', 'nosql', 'cloud', 'tensorflow', 'machine learning', 'ml', 'ai', 'deep learning', 'statistics', 'computer science', 'data science', 'regression']"
83,Data Scientist,4.0,Stripe,San Francisco,San Francisco,'1001-5000,2010.0,Company - Private,Internet,Information Technology,,79000.0,131000.0,"['python', 'sql', 'machine learning', 'statistics', 'mathematics', 'data science']"
84,Data Analyst,2.6,Comprehensive Healthcare,Yakima,Yakima,'501-1000,1971.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,79000.0,131000.0,['computer science']
85,Data Scientist,4.5,"Fullpower Technologies, Inc.",Santa Cruz,Santa Cruz,'51-200,2003.0,Company - Private,Computer Hardware & Software,Information Technology,10-25 million,79000.0,131000.0,"['python', 'sql', 'sas', 'aws', 'cloud', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ai', 'deep learning', 'statistics', 'mathematics', 'computer science', 'data science', 'big data']"
86,Machine Learning Engineer,4.8,Klaviyo,Boston,Boston,'201-500,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,79000.0,131000.0,"['python', 'java', 'javascript', 'html', 'kafka', 'cloud', 'machine learning', 'ml', 'ai', 'statistics', 'computer science', 'data science']"
87,Data Scientist,3.9,Mars,United States,Mc Lean,'10000+,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,10+ billion,79000.0,131000.0,"['python', 'aws', 'spark', 'cloud', 'machine learning', 'ai', 'statistics', 'computer science', 'data science']"
88,Patient Safety,4.0,AstraZeneca,Gaithersburg,Cambridge,'10000+,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,79000.0,131000.0,"['python', 'sql', 'cloud', 'excel', 'machine learning', 'ai', 'deep learning', 'natural language processing', 'statistics', 'data science']"
89,Machine Learning Engineer,4.4,NuWave Solutions,Springfield,Mc Lean,'51-200,1999.0,Company - Private,IT Services,Information Technology,5-10 million,79000.0,131000.0,"['python', 'sql', 'java', 'scala', 'javascript', 'aws', 'spark', 'hadoop', 'hive', 'etl', 'kafka', 'cloud', 'qlik', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'data science', 'time series', 'clearance', 'secret clearance']"
90,Data Scientist,4.2,ManTech,Alexandria,Herndon,'5001-10000,1968.0,Company - Public,Research & Development,Business Services,1-2 billion,79000.0,131000.0,"['python', 'sql', 'java', 'sas', 'scala', 'spark', 'hadoop', 'hive', 'kafka', 'mapreduce', 'tableau', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'regression', 'clustering', 'data mining', 'big data', 'clearance', 'secret clearance']"
91,Data Scientist,3.6,Merrick Bank,Utah,South Jordan,'201-500,1997.0,Company - Private,Banks & Credit Unions,Finance,,79000.0,131000.0,"['python', 'sql', 'sas', 'c++', 'aws', 'excel', 'machine learning', 'ai', 'data science']"
92,Data Scientist,3.4,Mathematica Policy Research,Washington,Princeton,'1001-5000,1986.0,Company - Private,Consulting,Business Services,100-500 million,99000.0,132000.0,"['python', 'aws', 'cloud', 'excel', 'scikit-learn', 'machine learning', 'ai', 'statistics', 'computer science', 'data science', 'security clearance', 'clearance']"
93,Data Scientist,4.4,Intuit - Data,San Diego,Mountain View,'5001-10000,1983.0,Company - Public,Computer Hardware & Software,Information Technology,2-5 billion,99000.0,132000.0,['data science']
94,Data Engineer,3.5,QOMPLX,Reston,Reston,'51-200,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,10-25 million,99000.0,132000.0,"['python', 'sql', 'scala', 'julia', 'spark', 'nosql', 'machine learning', 'ml', 'ai', 'artificial intelligence']"
